id,correct_url
82,https://ag.us21.list-manage.com/track/click?u=09fcce027126dffda6b997d13&id=5484d52abf&e=66160808b7
108,https://audgen.michigan.gov/wp-content/uploads/2022/03/r391071019-2854.pdf
109,https://audgen.michigan.gov/wp-content/uploads/2022/03/r391071520-2859.pdf
71,https://audgen.michigan.gov/wp-content/uploads/2024/10/r391070819F-187901.pdf
69,https://audgen.michigan.gov/wp-content/uploads/2025/06/r000010025-81931.pdf
68,https://comptroller.tn.gov/content/dam/cot/sa/advanced-search/2001/nsaa031302.pdf
83,https://dls.maryland.gov/pubs/prod/NoPblTabPDF/PharmacySvcs24.pdf
39,https://information.auditor.ca.gov/pdfs/reports/2023-103.pdf
78,https://leg.colorado.gov/sites/default/files/rac_audit-01-06-25.pdf
61,https://lla.la.gov/publicreports.nsf/0/3162ece296e27f5686258472007296fb/%24file/ldh_fti.pdf
16,https://ohioauditor.gov/AuditSearch/Reports/2024/Concurrent_Enrollment_Public_Interest_Audit_2024_Franklin_FINAL.pdf
94,https://ohioauditor.gov/AuditSearch/Reports/2024/Concurrent_Enrollment_Public_Interest_Audit_2024_Franklin_FINAL.pdf
44,https://oig.hhs.gov/documents/audit/10125/A-06-23-09002.pdf
37,https://oig.hhs.gov/documents/audit/10197/A-07-21-05132.pdf
56,https://oig.hhs.gov/documents/audit/10217/A-04-21-00127.pdf
49,https://oig.hhs.gov/documents/audit/10225/A-06-23-05000.pdf
51,https://oig.hhs.gov/documents/audit/10255/A-05-23-00006.pdf
57,https://oig.hhs.gov/documents/audit/10280/A-03-24-00201.pdf
46,https://oig.hhs.gov/documents/audit/10497/A-06-23-01002.pdf
50,https://oig.hhs.gov/documents/audit/10820/A-04-24-07110.pdf
45,https://oig.hhs.gov/documents/audit/10851/A-07-23-04134.pdf
97,https://oig.hhs.gov/documents/audit/9154/A-07-22-07009-Complete%20Report.pdf
43,https://oig.hhs.gov/documents/audit/9831/A-02-22-01016.pdf
98,https://oig.hhs.gov/documents/audit/9888/A-07-19-02816.pdf
55,https://oig.hhs.gov/documents/audit/9918/A-06-23-04004.pdf
95,https://oig.hhs.gov/documents/audit/9941/A-05-23-00008.pdf
90,https://oig.hhs.gov/oas/reports/region2/22001006.pdf
89,https://oig.hhs.gov/oas/reports/region2/22101008.pdf
88,https://oig.hhs.gov/oas/reports/region4/42100132.pdf
42,https://oig.hhs.gov/oas/reports/region4/42109005.pdf
40,https://oig.hhs.gov/oas/reports/region5/52000025.pdf
41,https://oig.hhs.gov/oas/reports/region5/52100013.pdf
72,https://oig.hhs.gov/oas/reports/region9/92103016.pdf
99,https://oig.hhs.gov/reports/all/2024/california-improperly-claimed-527-million-in-federal-medicaid-reimbursement-for-capitation-payments-made-on-behalf-of-noncitizens-with-unsatisfactory-immigration-status/
65,https://paauditor.b-cdn.net/wp-content/uploads/spe133045DHSPerformRx082824.pdf
32,https://sao.wa.gov/sites/default/files/audit_reports/PA_Medicaid_Concurrent_Enrollment_ar-1035630.pdf
47,https://sao.wa.gov/sites/default/files/audit_reports/PA_Medicaid_Concurrent_Enrollment_ar-1035630.pdf
93,https://sao.wa.gov/sites/default/files/audit_reports/PA_Medicaid_Concurrent_Enrollment_ar-1035630.pdf
81,https://www.ag.ks.gov/home/showpublisheddocument/22664/638587262859330000
86,https://www.apa.virginia.gov/reports/21714
67,https://www.auditor.nc.gov/documents/reports/performance/per-2020-4445/open
66,https://www.auditor.nc.gov/documents/reports/performance/per-2024-4445/open
70,https://www.capitol.tn.gov/Archives/Joint/committees/gov-opps/jud/TennCare_PA_2024.pdf
11,https://www.cms.gov/files/document/ohio-medicaid-managed-care-medical-loss-ratio-audit-report.pdf
14,https://www.cms.gov/files/document/ohio-medicaid-managed-care-medical-loss-ratio-audit-report.pdf
107,https://www.leg.state.nv.us/Division/Audit/Full/BE2024/LA24-12%20DHCFP%202022%20Report%2015-08-2024.pdf
73,https://www.mass.gov/doc/annual-report-medicaid-audit-unit-2/download
96,https://www.mass.gov/doc/audit-of-the-office-of-medicaid-masshealth-review-of-capitation-payments/download
75,https://www.mass.gov/doc/audit-of-the-office-of-medicaid-masshealth-review-of-telehealth/download
76,https://www.mass.gov/doc/office-of-medicaid-masshealth-massachusetts-delivery-system-reform-incentive-payment-program-2022/download
74,https://www.mass.gov/doc/office-of-medicaid-masshealth-payments-for-hospice-related-services-for-dual-eligible-members/download
92,https://www.oag.ri.gov/reports/2024_MedicaidCapPaid_OtherStates.pdf
64,https://www.ola.state.md.us/umbraco/Api/ReportFile/GetReport?fileId=665f7563c13a27638773be30
101,https://www.ola.state.md.us/umbraco/Api/ReportFile/GetReport?fileId=665f7563c13a27638773be30
84,https://www.ola.state.md.us/umbraco/Api/ReportFile/GetReport?fileId=67f92adbd9692b54d69f5e2f
115,https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2023-21s11.pdf
103,https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2025-22s31.pdf
52,https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2025-23s13.pdf
53,https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2025-23s41.pdf
54,https://www.osc.ny.gov/files/state-agencies/audits/pdf/sga-2025-24s5.pdf
38,https://information.auditor.ca.gov/pdfs/factsheets/2023-115.pdf
48,https://sao.texas.gov/Reports/Main/24-001.pdf
59,https://app.lla.state.la.us/PublicReports.nsf/0/AFEC03DFF9D72B0386258B25007287DB/$FILE/00004968.pdf
58,https://app.lla.la.gov/publicreports.nsf/0/7c9334f6beabee1286258b6b005879f6/$file/0000557eb.pdf
62,https://app.lla.state.la.us/PublicReports.nsf/0/8737FAC23FDC46D38625846B008009CC/$FILE/0001E10F.pdf
60,https://app2.lla.state.la.us/publicreports.nsf/0/77d5ae734c926b2a86258a0d005d8e16/$file/000026d4b.pdf?openelement&.7773098
63,https://dls.maryland.gov/pubs/prod/NoPblTabPDF/MCPA23.pdf
77,https://leg.colorado.gov/sites/default/files/documents/audits/2261p_medicaid_correspondence.pdf
79,https://app.auditor.mo.gov/Repository/Press/2020088_7166367580.pdf
80,https://auditor.mo.gov/AuditReport/ViewReport?report=2018134
85,https://pub.njleg.state.nj.us/publications/auditor/2025/54010323.pdf
87,https://sos.oregon.gov/audits/Documents/2024-27.pdf
34,https://www.auditor.illinois.gov/Audit-Reports/Performance-Special-Multi/Performance-Audits/2025_Releases/25-HFS-HBIS-HBIA-Perf-Full.pdf
91,https://sos.oregon.gov/audits/Documents/2024-29.pdf
100,https://sos.oregon.gov/audits/Documents/2023-25.pdf
102,https://sos.oregon.gov/audits/Documents/2021-37.pdf
104,https://app2.lla.state.la.us/publicreports.nsf/0/bcd9d00e72853d6d86258c44006e1020/$file/00006f7eb.pdf?openelement&.7773098
105,https://app.lla.la.gov/publicreports.nsf/0/f1bd7d40a4a9385186258c4b0056ee03/$file/0006fc8a.pdf
106,https://information.auditor.ca.gov/pdfs/reports/2021-046.pdf
110,https://www.azauditor.gov/sites/default/files/2023-11/22-111_Report.pdf
111,https://flauditor.gov/pages/pdf_files/2021-013.pdf
112,https://flauditor.gov/pages/pdf_files/2024-030.pdf
113,https://www.auditor.ca.gov/wp-content/uploads/2024/11/2023-046-Report.pdf
114,https://sao.texas.gov/Reports/Main/23-005.pdf
116,https://information.auditor.ca.gov/reports/2020-613/index.html